"employee_id","schoolName","fieldOfStudy","degreeName"
"t_990","KU Leuven","Computer Science","Doctor of Philosophy - PhD"
"t_990","KU Leuven","Civil Engineering: Computer Science","Master’s Degree"
"t_990","KU Leuven","Computer Science","Bachelor's Degree"
"t_991","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_991","Vilniaus universitetas / Vilnius University","Economics","Bachelor's degree"
"t_992","KU Leuven",NA,"Ph.D. in Engineering Sciences"
"t_992","Katholieke Universiteit Leuven","Mathematical Engineering","Master of Science (M.Sc.)"
"t_992","Katholieke Universiteit Leuven","Electrical Engineering and Computer science","Bachelor of Science (B.Sc.)"
"t_993","KU Leuven",NA,"Master of Science in Information Management, Cum Laude"
"t_993","KU Leuven","urn:li:fs_fieldOfStudy:100991","Bachelor of Science in Applied Economic Sciences"
"t_994","University of Warsaw","Computer Science & Econometrics","MSc"
"t_994","University of Warsaw","Sociology","MSc"
"t_994","University of Leuven","Applied Economics","Erasmus/Socrates Student Exchange Program"
"t_995","KU Leuven",NA,"Master of Business Information Management "
"t_995","KU Leuven","Business Administration and Management, General","Bachelor's degree"
"t_995","Universitat Pompeu Fabra",NA,NA
"t_996","Università di Pavia","Economia","Master"
"t_996","KU Leuven","Business economics / TEW","Master"
"t_997","Katholieke Universiteit Leuven","Chemical Engineering","Master of Science (MSc)"
"t_998","Leiden University","Cognitive Neuroscience of Language","Doctor of Philosophy - PhD"
"t_998","KU Leuven","2022 Summer School on Modern Design and Analysis of Experiments","Summer School"
"t_998","Udacity"," Natural Language Processing","Nanodegree"
"t_999","Katholieke Universiteit Leuven","Economics","Master in Information Management"
"t_999","SAS Institute",NA,NA
"t_999","Katholieke Hogeschool Limburg","IT","Bachelor"
"t_1000","KU Leuven","Human Health Engineering","Master"
"t_1000","Vrije Universiteit Brussel","Sportmarketing & -management ","Postgraduaat"
"t_1000","KU Leuven","Sports and Movement Science","Master"
"t_1001","KU Leuven","International Relations ","Masters of Business Administration"
"t_1001","University of South Florida","Business","Economics"
"t_1002","KU Leuven","Statistics","Doctor of Philosophy - PhD"
"t_1002","KU Leuven","Statistics","Master's degree"
"t_1002","University of Ioannina","Mathematics","Bachelor's degree"
"t_1003","KU Leuven",NA,"Master of Mathematical Engineering"
"t_1003","KU Leuven","Computer Science","Bachelor of Applied Science (B.A.Sc.)"
"t_1003","University of Leuven",NA,NA
"t_1004","KU Leuven","Business Engineering","Master of Science (M.Sc.)"
"t_1004","KU Leuven","Business Engineering","Bachelor of Science (B.Sc.)"
"t_1005","KU Leuven","Psychologie (methoden en statistiek)","PhD"
"t_1005","Universiteit Utrecht","Master Methodology and Statistics for the Behavioral, Biomedical and Social Sciences",NA
"t_1005","Universiteit Leiden","Master methodology and statistics in psychology","Master of Science (MSc)"
"t_1006","KU Leuven","Data Management en -gebruik in de Overheid","Postgraduate Degree"
"t_1006","Strategic Research Institute-Turkish War College","International Relations and National Security Studies","Master's degree"
"t_1006","Naval Sci. & Eng. Institute","Business Administration and Management, General","Master of Business Administration - MBA"
"t_1007","KU Leuven",NA,NA
"t_1007","Technische Universität München","Wirtschaftswissenschaften","Doktor (Ph.D.)"
"t_1007","Universität zu Köln","Wirtschaftsinformatik","Diplom"
"t_1008","Becode",NA,NA
"t_1008","Karel de Grote-Hogeschool",NA,NA
"t_1008","KU Leuven",NA,NA
"t_1009","KU Leuven","Engineering","Master of Materials Engineering"
"t_1009","Grenoble INP - Génie industriel",NA,"Master of Sustainable Industrial Engineering - SIE"
"t_1010","KU Leuven","Information management ","Master"
"t_1010","Universidad Carlos III de Madrid",NA,NA
"t_1010","Universiteit Antwerpen","Toegepaste economische wetenschappen:  bedrijfskunde (Applied Economics: Business Administration )","Master"
"t_1011","Katholieke Universiteit Leuven","Information Technology","Master of Science"
"t_1011","Osaka University","Information Technology","Master of Science"
"t_1012","KU Leuven","Engineering and Computer Science","Master of Artificial Intelligence"
"t_1012","Peter the Great St.Petersburg Polytechnic University","Applied Mechanics","Master's degree"
"t_1012","Peter the Great St.Petersburg Polytechnic University","Applied Mechanics","Bachelor's degree"
"t_1013","KU Leuven","Mechanical Engineering","Master of Science - MS"
"t_1013","Johns Hopkins University School of Education","Deep Learning, Machine Learning and Data Science",NA
"t_1014","KU Leuven","Statistics","Master of Science - MS"
"t_1014","The University of Texas at Austin","Mathematics","Bachelor of Science - BS"
"t_1014","The University of Texas at Austin","French","Bachelor of Arts - BA"
"t_1015","University of Leuven","Computer Science","Doctor of Philosophy (PhD)"
"t_1015","Polytechnic of Bari, Faculty of Engineering","Computer Systems Engineering, specialization in intelligent systems","Master's degree"
"t_1016","Karel de Grote Hogeschool","Toegepaste informatica in avondonderwijs",NA
"t_1016","KU Leuven","Economics","Master of Science (M.Sc.)"
"t_1016","University of Leicester","Economics","Bachelor of Science (B.Sc.)"
"t_1017","KU Leuven","Computer Science","PhD"
"t_1017","KU Leuven","Computer Science","MSc"
"t_1017","KU Leuven","Informatics","BSc"
"t_1018","ECAM Brussels Engineering School","Ingénierie informatique","Master's degree"
"t_1018","Ichec Brussels Management School","Business Engineering","Master's degree"
"t_1018","KU Leuven","Administration et gestion des affaires, général","Master's degree"
"t_1019","KU Leuven","Commercial Engineer - Production and Logistics","Master"
"t_1019","KU Leuven","Commercial Engineer","Bachelor"
"t_1020","KU Leuven","Wiskundige ingenieurstechnieken WIT","Burgerlijk Ingenieur (Ir.)"
"t_1021","KU Leuven","Computer Science, Major in Artificial Intelligence","MSc and BSc in Engineering"
"t_1021","Tsinghua University","Computer Science","Visiting Student"
"t_1021","HEC Paris","Mergers and Acquisitions","Summer Program"
"t_1022","Katholieke Universiteit Leuven","Engineering","PhD"
"t_1022","Katholieke Universiteit Leuven","Bioinformatics","Master"
"t_1022","Shenyang University of Technology","Electrical Engineering","Bachelor"
"t_1023","KU Leuven","Educational Studies","Master of Arts - MA"
"t_1023","Kwansei Gakuin University","Linguistics","Bachelor of Arts - BA"
"t_1023","Australian College of English",NA,NA
"t_1024","KU Leuven","Artificial Intelligence","Master of Artificial Intelligence"
"t_1024","Université catholique de Louvain","Applied Mathematics","Master of Engineering (M.Eng.)"
"t_1025","KU Leuven","Informatiemanagement (Information management)","Master"
"t_1025","KU Leuven","Economics ","Master"
"t_1026","EDHEC Business School",NA,"Master in Management - Intercontinental Honours Track"
"t_1026","WU (Vienna University of Economics and Business)","Finance and Financial Management Services","Master's degree"
"t_1026","Pace University - Lubin School of Business","Business - Finance","Intercontinental Honours track"
"t_1027","KU Leuven",NA,"Master in Artificial Intelligence"
"t_1027","KU Leuven",NA,"Master of Science in Statistics"
"t_1027",NA,NA,"Master in Commercial Engineering"
"t_1028","KU Leuven","Statistics and data science","Master of Science - MS"
"t_1028","Maastricht University","Data science and artificial intelligence","Bachelor of Science - BS"
"t_1028","Lycée Martin V",NA,NA
"t_1029","比利时荷语天主教鲁汶大学","Statistics","Master's degree"
"t_1029","Karolinska Institutet","Biostatistics, Epidemiology","Master thesis"
"t_1029","四川大学","Mathematics (Statistics)","Bachelor's degree"
"t_1030","KU Leuven","Biomedical Engineering","Master of Engineering - MSc"
"t_1030","Politecnico di Milano","Biomedical Engineering","Master of Engineering - MSc"
"t_1030","KU Leuven","Electrical and Mechanical Engineering","Bachelor's degree"
"t_1031","Hult International Business School","International business","Master of Science - MS"
"t_1031","KU Leuven","Marketing  / Commerciële economie (CE) - Specialisatie marketing management","Master of Science - MS"
"t_1031","KU Leuven","Business administration / Bedrijfskunde / Business management / Bedrijfsmanagement","Bachelor of Science - BS"
"t_1032","University of Leuven","Business Economics / ORSTAT (Research Centre for Operations Research and Statistics)","Doctor of Philosophy - PhD"
"t_1032","Orta Doğu Teknik Üniversitesi / Middle East Technical University","Statistics","Master of Science - MS"
"t_1032","Orta Doğu Teknik Üniversitesi / Middle East Technical University","Statistics","Bachelor of Science - BS"
"t_1033","KU Leuven","Master of Science in Engineering: Mathematical Engineering",NA
"t_1033","KU Leuven","Bachelor of Informatics",NA
"t_1033","KU Leuven","Bachelor of Physics",NA
"t_1034","KU Leuven","Statistics and Data Science","Master's degree"
"t_1035","KU Leuven","Information Technology","Master's degree"
"t_1035","University of Economics, Prague","Data science and Web technologies","Master's degree"
"t_1035","University of Economics in Prague","Applied Information Technologies","Bachelor's degree"
"t_1036","KU Leuven","Computer Science","Doctor of Philosophy (PhD) in Engineering"
"t_1036","Amirkabir University of Technology - Tehran Polytechnic","Information Technology (E-Commerce)","Master of Engineering (MEng)"
"t_1036","Shahid Beheshti University","Computer Engineering","Bachelor of Engineering (BEng)"
"t_1037","KU Leuven","Computer Science","Master's degree"
"t_1037","Politecnico di Torino","Computer Engineering","Bachelor's degree"
"t_1037","Istituto Superiore di Studi Musicali L.Boccherini","Musical Studies and Piano","Bachelor's degree"
"t_1038","University of North Carolina at Chapel Hill","Economics","Bachelor’s Degree"
"t_1038","KU Leuven","Statistics","Master of Science - MS"
"t_1039","KU Leuven","Artificial Intelligence","Master of Science - MS"
"t_1039","Indian Institute of Technology, Guwahati",NA,"Bachelor of Technology (B.Tech.)"
"t_1040","University of Leuven","Master in het Management","Master’s Degree"
"t_1040","University of Leuven","Mechanical engineering (Thermal science)","Master of science in Engineering (Burgerlijk Ingenieur)"
"t_1040","University of Leuven","Mechanical engineering - Computer Science","Bachelor of science in Engineering"
"t_1041","KU Leuven","Business/Managerial Economics","Doctor of Philosophy - PhD"
"t_1041","KU Leuven",NA,NA
"t_1041","Sint-Jan Berchmanscollege",NA,NA
"t_1042","Hogeschool West-Vlaanderen - Vlaamse Autonome Hogeschool","Postgraduate Data Protection Officer","Certificate"
"t_1042","KU Leuven","Master of Electromechanical Engineering Technology","Master of Science (MSc)"
"t_1042","Onze-Lieve-Vrouw-van-Lourdescollege Edegem","Science-Mathematics 8","GSE"
"t_1043","KU Leuven","Theoretical Statistics and Data Science","Master of Statistics and Data Science"
"t_1043","The University of Hong Kong","Economics and Finance and Mathematics","Bachelor of Economics and Finance"
"t_1044","Katholieke Universiteit Leuven","Applied Economics","Master's degree"
"t_1044","St.-Theresiacollege","Mathematics - Economics",NA
"t_1045","Universitat Internacional de Catalunya","Sustainable Emergency Architecture","Master"
"t_1045","KU Leuven","Artificial intelligence","Master"
"t_1045","KU Leuven","Urban Design ","Master"
"t_1046","University of Leuven","Mechatronics & Robotics","Master of Science (M.Sc.) in Mechanical Engineering"
"t_1046","Instituto Politécnico de Lisboa","Engineering","Athens Course: Operational Research"
"t_1046","Universidad Politécnica de Madrid","Engineering","Athens Course: Specral Signatures - From Foods to Fuels"
"t_1047","KU Leuven",NA,"Doctor of Philosophy - PhD"
"t_1047","University of Leuven","Financial and Actuarial Engineering","Master of Science (MSc)"
"t_1047","University of Leuven","Insurance","Master of Science (MSc)"
"t_1048","KU Leuven","Business Statistics","Master of Science - MS"
"t_1048","Zhejiang University","Food Science and Technology","Bachelor of Engineering - BE"
"t_1049","KU Leuven","Statistics (Biometrics)","Master of Science - MSc"
"t_1049","Duale Hochschule Baden-Württemberg","Accounting and Finance","Diplom (B.A.)"
"t_1050","The Faculty of Engineering at Lund University","Engineering Physics","Master of Science - MS"
"t_1050","KU Leuven","Privacy and big data, Statistics, Computational fluid dynamics",NA
"t_1050","The Faculty of Engineering at Lund University","Engineering Nanoscience","Master of Science - MS"
"t_1051","Vrije Universiteit Amsterdam (VU Amsterdam)","Bioinformatics","Master of Science (MSc)"
"t_1051","Utrecht University","Biomedische Wetenschappen","Bachelor of Science"
"t_1051","KU Leuven","Japanese Studies",NA
"t_1052","KU Leuven","Big data analytics track","Advanced Master of Artificial Intelligence"
"t_1052","KU Leuven","Ecology","MSc in Biology"
"t_1052","The Hong Kong University of Science and Technology","Environmental Science","BSc in Science"
"t_1053","Centro de Investigación y de Estudios Avanzados del IPN","Bioelectronics","Doctor of Philosophy - PhD"
"t_1053","KU Leuven","Physics","Doctoral Stay"
"t_1053","Centro de Investigación y de Estudios Avanzados del IPN","Bioelectronics","Master of Science - MS"
"t_1054","The London School of Economics and Political Science (LSE)","Financial Statistics","Master of Science - MSc."
"t_1054","The Wharton School","Finance ","Exchange Program"
"t_1054","KU Leuven","Business Engineering","Bachelor of Science - BS"
"t_1055","KU Leuven","Business Information Management","Master's degree"
"t_1055","KU Leuven","Business Administration and Management, General","Bachelor of Business Administration - BBA"
"t_1056","KU Leuven","Electrical and Electronics Engineering","Master of Science - MS"
"t_1056","KU Leuven","Electronics, Computer Sciences","Bachelor of Engineering (BE)"
"t_1056","Technical University Munich","Electrical and Electronics Engineering","Master’s Degree"
"t_1057","National Taiwan University","Electrical Engineering (Computer Science Group)","Master of Science - MS"
"t_1057","KU Leuven","Biomedical Engineering","International student"
"t_1057","National Taiwan Normal University",NA,"Bachelor's degree in Engineering"
"t_1058","KU Leuven","Mathematics","Doctor of Philosophy - PhD"
"t_1058","KU Leuven",NA,"Master of Mathematics • Summa cum laude with congratulations of the Board of Examiners"
"t_1058","KU Leuven",NA,"Bachelor of Mathematics • Summa cum laude"
"t_1059","KU Leuven","Energy","Master of Science in Engineering"
"t_1059","Erasmushogeschool Brussel","Artificial Intelligence","Post Graduate"
"t_1059","KU Leuven","Computer Science - Mechanical Engineering","Bachelor of Science in Engeineering"
"t_1060","KU Leuven","Computer Science","Master: Ingenieurswetenschappen: computerwetenschappen"
"t_1060","KU Leuven","Computer Science","Bachelor: Informatica"
"t_1060","KU Leuven",NA,"Bachelor of Engineering - BE"
"t_1061","KU Leuven","Geography; Profile: Geographic Information Science and Cartography","Master of Science - MS"
"t_1061","KU Leuven","Geografie; Minor verbreding; Module sociaal-economische wetenschappen","Bachelor of Science - BS"
"t_1062","KU Leuven","Biomedische technologie (Biomedical engineering)","Master"
"t_1062","KU Leuven","Electrical and electronic engineering","Bachelor of Engineering (B.E.)"
"t_1063","Katholieke Universiteit Leuven","Theoretical and Mathematical Physics","Master's degree"
"t_1063","Universiteit Hasselt","Physics","Bachelor's degree"
"t_1063","CHKSU, Maaseik",NA,"High School"
"t_1064","Mahatma Gandhi University","Financial Management ","Master of Business Administration (MBA)"
"t_1064","Katholieke Universiteit Leuven","Bioinformatics","Bio-informatics"
"t_1064","Troy State University","Computers Science and Business Management","B.Sc. honors"
"t_1065","KU Leuven","Statistics","Master's degree"
"t_1065","Azhar University - Gaza","Statistics","Bachelor's degree"
"t_1066","KU Leuven","Artificial Intelligence","Advanced Master’s"
"t_1066","Lebanese American University","Computer Engineering","Bachelor of Engineering - BE"
"t_1066","Kent State University",NA,"Study Abroad"
"t_1067","Erasmus Universiteit Rotterdam","Bayesian Statistics","Doctor of Philosophy (Ph.D.)"
"t_1067","KU Leuven","Statistics","Master’s Degree"
"t_1067","Savitribai Phule Pune University","Computer Engineering","Bachelor of Engineering - BE"
"t_1068","Universidad Simón Bolívar","Computer Science","Ph. D student"
"t_1068","University of Leuven","Artificial Intelligence","Master’s Degree"
"t_1068","EF Englishtown","English Language and Literature, General","Engineer's Degree"
"t_1069","Universiteit Antwerpen","Applied Bioengineering","Doctor of Philosophy (PhD)"
"t_1069","Budapesti Mûszaki és Gazdaságtudományi Egyetem / Technical University of Budapest","Chemical Engineering, Process Engineering","Master's Degree"
"t_1069","University of Leuven","Bioengineering","Erasmus thesis student"
"t_1070","KU Leuven","Statistics and Data Science ","Master of Science - MS"
"t_1070","Koç Üniversitesi","Business Administration and Management, General","Bachelor's degree"
"t_1070","Koç Üniversitesi","Industrial Engineering","Bachelor's degree"
"t_1071","KU Leuven","Artificial Intelligence","Advanced Master (MSc)"
"t_1071","Democritus University of Thrace - (D.U.Th.)",NA,"BSc & MEng, Electrical and Computer Engineering"
"t_1072","Katholieke Universiteit Leuven","Computer Science","Doctor of Philosophy (Ph.D.)"
"t_1072","Centrum voor Levende Talen - KULeuven","Chinese","2nd year"
"t_1072","Centrum voor Levende Talen - KULeuven","Japanese","5th year"
"t_1073","Université libre de Bruxelles","AI and Critical Software System","M.Sc. in Computer Science"
"t_1073","KU Leuven, CLT","Intensive English language Training","English level B2 (CEFR)"
"t_1073","Payame Noor University (Distance Education)","IT Engineering","Bachelor's degree"
"t_1074","Katholieke Universiteit Leuven","Business Administration and management, IT ","Master of Science - MS"
"t_1074","KU Leuven","Business Administration and Management, General","Master's degree"
"t_1074","Katholieke Universiteit Leuven",NA,"Master of Business Administration (MBA)"
"t_1075","Universitat Politècnica de València (UPV)","Ingeniería de telecomunicaciones","Licenciatura"
"t_1075","KU Leuven","Electronic Engineering - Computer Vision","Master's Thesis"
"t_1076","KU Leuven","Master of Business and Information Systems Engineering - Major Data Science","Master of Science - MS"
"t_1076","Hanyang University","Business and information systems engineering","Exchange semester in Bachelor's degree to South-Korea"
"t_1076","KU Leuven","Business and Information Systems Engineering","Bachelor of Science - BS"
"t_1077","KU Leuven","Computer Science","Master's degree"
"t_1077","KU Leuven","Informatics","Bachelor's degree"
"t_1078","Katholieke Universiteit Leuven","Mathematics and Computer Science","Doctor of Philosophy (Ph.D.)"
"t_1078","Katholieke Universiteit Leuven","Computer Science","Master's degree"
"t_1079","KU Leuven","Computer Science","Master's Degree"
"t_1079","Université libre de Bruxelles","Computer Science and Engineering","Non-Degree Exchange Study"
"t_1079","Beijing University of Technology","Computer Science and Technology","Bachelor's Degree"
"t_1080","KU Leuven","Statistics","Master of Science - MS"
"t_1080","University of Auckland","Politics and Economics","Bachelor of Arts - BA"
"t_1081","KU Leuven","Computer Science","Master of Engineering - MEng"
"t_1081","KU Leuven","Computer Science","Bachelor of Science - BS"
"t_1082","KU Leuven","Statistics and Data Science","Master of Science (MSc)"
"t_1082","SGH Warsaw School of Economics","Quantitative Methods in Economics (MIESI)","Master's degree"
"t_1082","SGH Warsaw School of Economics","Quantitative Methods in Economics (MIESI)","Bachelor's degree"
"t_1083","Rotterdam School of Management, Erasmus University","Essentials of Leadership ","Executive program"
"t_1083","KU Leuven","Information Management  ( Major Track- Data science & Management)","Master of Science - M.S"
"t_1083","KU Leuven","Artificial Intelligence   (Major Track - Engineering & Computer Science)","Master of Science - M.S"
"t_1084","KU Leuven","International Business Economics and Management","Master of Science"
"t_1084","Universidade do Minho",NA,"Erasmus Placement for Bachelor Thesis Research"
"t_1084","UNIVERSITATEA TEHNICA DIN CLUJ-NAPOCA","Automation and Applied Computer Science","Bachelor of Engineering"
"t_1085","KU Leuven","Statistics and Data Science ","Master of Science - MS"
"t_1085","KU Leuven",NA,"European Master’s in Official Statistics"
"t_1085","Shaheed Sukhdev College Of Business Studies","Financial Engineering ","Bachelor of Management Studies"
"t_1086","KU Leuven","Statistics and Data Science","M.sc"
"t_1086","KiiT University","Electronics and Telecommunication","Bachelor’s Degree"
"t_1086","Niva Ananda Vidyalaya","science","10+2"
"t_1087","Katholieke Universiteit Leuven","Mathematical Engineering / Computational Sciences","Master of Science (M.Sc.)"
"t_1087","Eidgenössische Technische Hochschule Zürich","Computational science","Master of Science (M.S.)"
"t_1087","EuroPilot Center",NA,"Private pilot license PPL(A)"
"t_1088","IBM",NA,"Python for Data Science"
"t_1088","Object Management Group (OMG)","Unified Modeling Language (UML)",NA
"t_1088","Global Association of Risk Professionals (GARP)","Financial Risk Manager (FRM)",NA
"t_1089","KU Leuven","Mathematical Engineering","Master"
"t_1089","KU Leuven","Ingenieurswetenschappen","Bachelor"
"t_1089","Sint Jan Berchmanscollege Genk","Wetenschappen-Wiskunde(8u)","Secundair onderwijs"
"t_1090","Faculdade de Ciências da Universidade de Lisboa","Statistics and Operational Research","Master's degree"
"t_1090","ISEG - Lisbon School of Economics & Management","Applied Mathematics","Bachelor's degree"
"t_1090","KU Leuven","Architecture","Master of Architecture - MArch"
"t_1091","KU Leuven","Statistics","Master’s Degree"
"t_1091","Vrije Universiteit Brussel","Educational Sciences","Master’s Degree"
"t_1091","Group T–Leuven Education College",NA,"Postgraduate Development Studies, awarded with Cum Laude"
"t_1092","KU Leuven","Computer Science","Master of Science - MS"
"t_1092","KU Leuven",NA,"Bachelor of Science in Engineering: Computer Science & Electrical Engineering"
"t_1093","KU Leuven","Biomedische wetenschappen (Biomedical Sciences)","Doctor of Philosophy - PhD"
"t_1093","KU Leuven","Specifieke lerarenopleding gezondheidswetenschappen","Teaching training SLO health sciences"
"t_1093","KU Leuven","Biomedische wetenschappen / Biomedical sciences","Master in biomedical Sciences"
"t_1094","KU Leuven","Mathematics","Master of Science (M.Sc.)"
"t_1094","KU Leuven","Mathematics","Bachelor of Science (B.Sc.)"
"t_1094","Sint-Lutgardisinstituut Oostende","Latin-Mathematics",NA
"t_1095","KU Leuven","Business Analytics and Data Science ","Master in Business Engineering "
"t_1095","Louvain School of Management","Supply Chain Management","Master in Business Engineering"
"t_1095","Université catholique de Louvain","Business Engineering","Bachelor's degree"
"t_1096","Katholieke Universiteit Leuven"," ",NA
"t_1097","University of Leuven","Bioinformatics","Master of Science (M.Sc.)"
"t_1097","Institute of tropical Medicine Antwerp","Epidemiology","Master of Science in Tropical Animal Health (MSTAH)"
"t_1097","EISMV of Dakar","Food safety and Quality management","Master of Science (M.Sc.)"
"t_1098","KU Leuven","Artificial Intelligence","Master's degree"
"t_1098","The University of Manchester","Physics","Master's degree"
"t_1099","KU Leuven","Business administration / Bedrijfskunde / Business management / Bedrijfsmanagement","Master"
"t_1099","KU Leuven","Postgraduate Programme in Innovation and Entrepreneurship in engineering",NA
"t_1099","KU Leuven Faculteit Industriële Ingenieurswetenschappen - Campus Groep T Leuven","Master of Engineering Technology: Electromechanical Engineering - Option Intelligent Mechanics","Ing."
"t_1100","EPFL (École polytechnique fédérale de Lausanne)","Photonics","Doctor of Philosophy - PhD"
"t_1100","edX","Data Science","Certificates"
"t_1100","KU Leuven","Nanoscience and Nanotechnology","Erasmus Mundus Master"
"t_1101","Vlerick Leuven-Gent Management School","General Management","Master of Science"
"t_1101","Katholieke Universiteit Leuven","Process Optimization & Analysis","Master of Advanced Business Studies"
"t_1101","Katholieke Universiteit Leuven","Health Care Management and Policy","Master of Science"
"t_1102","KU Leuven","Economics","TEW"
"t_1102","Katholieke Hogeschool Zuid-West-Vlaanderen","Informatics","Bachelor"
"t_1103","Birla Institute of Technology","Mathematics and Computing","Integrated M.Sc"
"t_1103","KU Leuven","Artificial Intelligence","Master's degree"
"t_1104","Lucerne University of Applied Sciences and Arts","Applied Info and Data Science","Master of Science - MS"
"t_1104","Katholieke Universiteit Leuven","European Studies/Civilization","Master’s Degree"
"t_1104","The University of Manchester","History","Bachelor’s Degree"
"t_1105","KU Leuven","Commercial Engineer","Master's Degree"
"t_1105","KU Leuven","Commercial Engineer","Bachelor's degree"
"t_1106","KU Leuven","Artificial intelligence","Master's degree"
"t_1106","KU Leuven","Theoretische en mathematische fysica","Master's degree"
"t_1107","The London School of Economics and Political Science (LSE)","Management","Master's degree"
"t_1107","KU Leuven","Mechatronics & Robotics","Master of Science in Mechanical Engineering"
"t_1107","Technische Universität Wien","Mechatronics and Robotics Engineering","Master"
"t_1108","KU Leuven","Social Sciences","Phd"
"t_1108",NA,"Quantitative analysis in the Social Sciences","Master"
"t_1108","KU Leuven","Computer Science","Master's"
"t_1109","KU Leuven","Artificial Intelligence","Advanced Master's degree"
"t_1109","KU Leuven","Mechatronics and Robotics Engineering","Masters degree"
"t_1109","University of Pretoria/Universiteit van Pretoria","Mechanical Engineering","Bachelor's degree"
"t_1110","Katholieke Universiteit Leuven","Artificial Intelligence","Master of Artificial Intelligence"
"t_1110","Govind Ballabh Pant Krishi Evam Praudyogik Vishwavidyalaya",NA,"Bachelor of Technology, Computer Science"
"t_1111","KU Leuven","Business Administration, Management and Operations","Master of Science - MS"
"t_1111","Iran University of Science and Technology","Entrepreneurial and Small Business Operations","Master of Science - MS"
"t_1111","University of Tehran","Civil Engineering","Bachelor of Science - BS"
"t_1112","KU Leuven",NA,NA
"t_1112","National School of Computer Science and Applied Mathematics of Grenoble",NA,NA
"t_1113","KU Leuven","Information Science/Studies","Master of Science - MS"
"t_1113","KU Leuven","Business/Managerial Economics","Master of Science - MS"
"t_1113","Zagreb school of economics and management","Business Administration and Management, General","Master of Business Administration (M.B.A.)"
"t_1114","Amherst College","Political Science, Latin American Studies, Music","BA"
"t_1114","The London School of Economics and Political Science (LSE)","Political Science","PhD candidate"
"t_1114","KU Leuven","European Integration","Visiting Fellow"
"t_1115","Vlerick Business School","Accounting and Finance","Management programme"
"t_1115","Katholieke Universiteit Leuven","HIV-1 Evolutionary Dynamics","Doctor in Medical Sciences"
"t_1115","Katholieke Universiteit Leuven","Bio-informatics","Msc"
"t_1116","KU Leuven","Electrical, Electronics and Communications Engineering","Master of Engineering - MEng"
"t_1116","Posts and Telecommunications Institute of Technology","Electronics - Telecommunications","Bachelor of Engineering - BE"
"t_1116","Coursera","Machine Learning, Deep Learning",NA
"t_1117","Katholieke Universiteit Leuven","Artificial Intelligence (Engineering and Computer Science option)","Master"
"t_1117","Université catholique de Louvain","Neuropsychology","Master"
"t_1118","Katholieke Universiteit Leuven","Biomedical Sciences, Biostatistics","Doctor of Philosophy (PhD)"
"t_1118","Universiteit Hasselt","Statistics (Biostatistics)","Master of Science (MSc)"
"t_1118","Kwame Nkrumah' University of Science and Technology, Kumasi","Mathematics","Bachelor of Science (BSc)"
"t_1119","KU Leuven","Computer Science - Artificial intelligence","Master of Science in Engineering"
"t_1119","Instituto Superior Técnico","Computer Science","Master's degree"
"t_1119","KU Leuven","Engineering Science","Bachelor's degree"
"t_1120","KU Leuven","Master of Information Management","Master's degree"
"t_1120","KU Leuven","Computer Science","Bachelor's degree"
"t_1121","KU Leuven","Artificial intelligence","Selected topics"
"t_1121","KU Leuven","GIS and Spatial Modelling","Master of Science (M.Sc.)"
"t_1121","Vrije Universiteit Brussel","GIS and Spatial Modelling","Master of Science (M.Sc.)"
"t_1122","Mahatma Gandhi University","Financial Management ","Master of Business Administration (MBA)"
"t_1122","Katholieke Universiteit Leuven","Bioinformatics","Bio-informatics"
"t_1122","Troy State University","Computers Science and Business Management","B.Sc. honors"
"t_1123","KU Leuven","Postgraduate Studies in Big Data and Analytics in Business and Management","Postgraduate Degree"
"t_1123","Vrije Universiteit Brussel","Applied Artifical Intelligence","Postgraduate Degree"
"t_1123","Erasmushogeschool Brussel","Applied Artifical Intelligence","Postgraduate Degree"
"t_1124","KU Leuven","Statistics and Data Science","Master's degree"
"t_1124","Universidad Autónoma de Santo Domingo","Economics","Bachelor's degree"
"t_1124","Niagara College","International Business/Trade/Commerce","Bachelor's degree, Academical Exchange"
"t_1125","KU Leuven","Computer Science","Doctor of Philosophy - PhD"
"t_1125","Tsinghua University","Applied Mathematics","Master of Science - MS"
"t_1125","吉林大学","Math and Applied Mathematics","Bachelor of Science - BS"
"t_1126","KU Leuven","Option 'Engineering and Computer Science'","Master Artificial Intelligence"
"t_1126","Universiteit Antwerpen","Master Business Engineer in Management Information Systems",NA
"t_1126","The Beijing Center","Summerschool 'The business environment in China'",NA
"t_1127","KU Leuven","STATISTICS AND DATA SCIENCE","Master of Science - MS"
"t_1127","University of Ghana","economic and statistics","Bachelor’s Degree"
"t_1128","Instituto Superior Técnico","Engenharia Electrotécnica e de Computadores",NA
"t_1128","KU Leuven","Health in Informatics","Intensive Programme"
"t_1129","KU Leuven","Business and Information Systems Engineering","Master's degree"
"t_1129","Ira A. Fulton Schools of Engineering at Arizona State University","Engineering Management","Bachelor of Engineering - BE"
"t_1130","European College of Veterinary Public Health","Veterinary Public Health, Population Medicine","Resident (Veterinary specialist track)"
"t_1130","Utrecht University","Epidemiology","Doctor of Philosophy - PhD"
"t_1130","Utrecht University",NA,"Postgraduate/Master of Science Epidemiology"
"t_1131","KU Leuven","Artificial Intelligence","Master's degree"
"t_1131","Udacity","Machine Learning Engineer ","Nanodegree"
"t_1131","National Chiao Tung University","Materials Science and Engineering","Master's degree"
